iter	Passed	Remaining
416	3701	736
417	3711	728
418	3720	719
419	3730	710
420	3738	701
421	3746	692
422	3755	683
423	3764	674
424	3772	665
425	3781	656
426	3790	648
427	3798	638
428	3807	630
429	3816	621
430	3824	612
431	3832	603
432	3842	594
433	3851	585
434	3859	576
435	3868	567
436	3876	558
437	3885	550
438	3895	541
439	3905	532
440	3916	524
441	3927	515
442	3936	506
443	3946	497
444	3956	488
445	3964	480
446	3973	471
447	3983	462
448	3993	453
449	4001	444
450	4009	435
451	4016	426
452	4025	417
453	4034	408
454	4044	399
455	4052	391
456	4061	382
457	4069	373
458	4078	364
459	4087	355
460	4097	346
461	4107	337
462	4115	328
463	4122	319
464	4131	310
465	4139	302
466	4148	293
467	4157	284
468	4166	275
469	4173	266
470	4183	257
471	4190	248
472	4201	239
473	4210	230
474	4218	222
475	4228	213
476	4237	204
477	4246	195
478	4255	186
479	4263	177
480	4270	168
481	4278	159
482	4286	150
483	4294	141
484	4302	133
485	4312	124
486	4321	115
487	4329	106
488	4339	97
489	4348	88
490	4356	79
491	4366	70
492	4374	62
493	4384	53
494	4393	44
495	4403	35
496	4413	26
497	4422	17
498	4432	8
499	4441	0
